id,repair_order_id,issue_date,due_date,parts_cost,labor_cost,tax,total_amount,status
4bece8b2-7c82-41c9-bb50-3cc7af452bdd,0cdf56a1-53bc-451a-9987-1ca8e6f54bb2,2023-04-02,2023-05-02,649.94,390,83.2,1123.14,Unpaid
d348b066-b2ae-4eb7-846b-36adc80efa33,2b56fe87-0000-4942-89d2-44261a813f59,2022-10-31,2022-11-30,319.93,705,81.99,1106.92,Unpaid
46f15965-9505-46e2-b07d-804124181ae6,26edc4d5-5102-48cf-8f24-afee69b042ab,2022-03-23,2022-04-22,259.98,250,40.8,550.78,Paid
c52cc085-2ece-424d-a18b-25e664523d2b,f328082e-38b7-403c-874f-ed82d5731d46,2025-02-26,2025-03-28,634.88,580,97.19,1312.07,Unpaid
ff7dd839-6cfd-4eaf-a919-ee4b972e3533,31c85fd3-2ebd-43b3-b1fe-81668b112763,2023-03-27,2023-04-26,609.92,480,87.19,1177.11,Unpaid
4c9ab77c-eeb4-46be-940c-c756bedb05b6,0baded5f-a138-4d59-8b0b-b87085d5aeef,2024-11-14,2024-12-14,999.96,250,100,1349.96,Unpaid
82c06567-c08b-43bb-9e36-533a436db155,a7cdbd91-f309-4c7e-a847-524e9cc5e751,2022-07-25,2022-08-24,179.98,100,22.4,302.38,Unpaid
8fb27f08-4475-4c51-9e41-9756c183e9c4,37349e9e-208d-426d-a114-c317f76814ea,2022-08-15,2022-09-14,389.97,110,40,539.97,Unpaid
21da392d-0aab-40be-9783-042e8805fc9b,5f7e856f-54c8-4d18-bc39-b2335b0a1226,2023-01-18,2023-02-17,819.89,510,106.39,1436.28,Paid
956d0444-fa30-4857-87b0-3834fdf67b4f,e1f76786-8c04-4ae0-934d-6c86395c67f1,2024-05-02,2024-06-01,0,250,20,270,Paid
30889853-1784-4206-b3c5-cdd1b0fcfc73,6114de43-70d1-4e81-b887-54f04d380a97,2022-09-04,2022-10-04,289.98,290,46.4,626.38,Paid
ad4ac86c-9c01-4033-bc2b-5dc38b7266c6,7d943793-65a7-4a4a-9870-1dcf7a0c2514,2024-11-10,2024-12-10,699.96,625,106,1430.96,Unpaid
